,Month_Year,Closing_Price,Volume
0,2014-10-01,338.3210144042969,902994450
1,2014-11-01,378.0469970703125,659733360
2,2014-12-01,320.1929931640625,553102310
3,2015-01-01,217.46400451660156,1098811912
4,2015-02-01,254.26300048828125,711518700
5,2015-03-01,244.2239990234375,959098300
6,2015-04-01,236.14500427246094,672338700
7,2015-05-01,230.19000244140625,568122600
8,2015-06-01,263.0719909667969,629780200
9,2015-07-01,284.6499938964844,999892200
10,2015-08-01,230.05599975585938,905192300
11,2015-09-01,236.05999755859375,603623900
12,2015-10-01,314.1659851074219,953279500
13,2015-11-01,377.3210144042969,2177623396
14,2015-12-01,430.5669860839844,2096250000
15,2016-01-01,368.7669982910156,1990880304
16,2016-02-01,437.6969909667969,1876238692
17,2016-03-01,416.72900390625,2332852776
18,2016-04-01,448.3179931640625,1811475204
19,2016-05-01,531.385986328125,2234432796
20,2016-06-01,673.3369750976562,4749702740
21,2016-07-01,624.6810302734375,3454186204
22,2016-08-01,575.4719848632812,2686220180
23,2016-09-01,609.7349853515625,2004401400
24,2016-10-01,700.9719848632812,2115443796
25,2016-11-01,745.6909790039062,2635773092
26,2016-12-01,963.7429809570312,3556763800
27,2017-01-01,970.4030151367188,5143971692
28,2017-02-01,1179.969970703125,4282761200
29,2017-03-01,1071.7900390625,10872455960
30,2017-04-01,1347.8900146484375,9757448112
31,2017-05-01,2286.409912109375,34261856864
32,2017-06-01,2480.840087890625,44478140928
33,2017-07-01,2875.340087890625,32619956992
34,2017-08-01,4703.39013671875,63548016640
35,2017-09-01,4338.7099609375,55700949056
36,2017-10-01,6468.39990234375,58009357952
37,2017-11-01,10233.599609375,140735010304
38,2017-12-01,14156.400390625,410336495104
39,2018-01-01,10221.099609375,416247858176
40,2018-02-01,10397.900390625,229717780480
41,2018-03-01,6973.52978515625,193751709184
42,2018-04-01,9240.5498046875,196550010624
43,2018-05-01,7494.169921875,197611709696
44,2018-06-01,6404.0,130214179584
45,2018-07-01,7780.43994140625,141441939792
46,2018-08-01,7037.580078125,132292770000
47,2018-09-01,6625.56005859375,129745370000
48,2018-10-01,6317.60986328125,118436880000
49,2018-11-01,4017.2685546875,158359524484
50,2018-12-01,3742.700439453125,168826809069
51,2019-01-01,3457.792724609375,167335706864
52,2019-02-01,3854.785400390625,199100675597
53,2019-03-01,4105.404296875,297952790260
54,2019-04-01,5350.7265625,445364556718
55,2019-05-01,8574.501953125,724157870864
56,2019-06-01,10817.1552734375,675855385074
57,2019-07-01,10085.6279296875,676416326705
58,2019-08-01,9630.6640625,533984971734
59,2019-09-01,8293.8681640625,480544963230
60,2019-10-01,9199.5849609375,595205134748
61,2019-11-01,7569.6298828125,676919523650
62,2019-12-01,7193.59912109375,633790373416
63,2020-01-01,9350.529296875,852872174496
64,2020-02-01,8599.5087890625,1163376492768
65,2020-03-01,6438.64453125,1290442059648
66,2020-04-01,8658.5537109375,1156127164831
67,2020-05-01,9461.05859375,1286368141507
68,2020-06-01,9137.9931640625,650913318680
69,2020-07-01,11323.466796875,545813339109
70,2020-08-01,11680.8203125,708377092130
71,2020-09-01,10784.4912109375,1075949438431
72,2020-10-01,13780.9951171875,1050874546086
73,2020-11-01,19625.8359375,1093144913227
74,2020-12-01,29001.720703125,1212259707946
75,2021-01-01,33114.359375,2153473433571
76,2021-02-01,45137.76953125,2267152936675
77,2021-03-01,58918.83203125,1681184264687
78,2021-04-01,57750.17578125,1844481772417
79,2021-05-01,37332.85546875,1976593438572
80,2021-06-01,35040.8359375,1189647451707
81,2021-07-01,41626.1953125,819103381204
82,2021-08-01,47166.6875,1014674184428
83,2021-09-01,43790.89453125,1102139678824
84,2021-10-01,61318.95703125,1153077903534
85,2021-11-01,57005.42578125,1053270271383
86,2021-12-01,46306.4453125,957047184722
87,2022-01-01,38483.125,923979037681
88,2022-02-01,43193.234375,671335993325
89,2022-03-01,45538.67578125,830943838435
90,2022-04-01,37714.875,830115888649
91,2022-05-01,31792.310546875,1105689315990
92,2022-06-01,19784.7265625,923939211678
93,2022-07-01,23336.896484375,927582363389
94,2022-08-01,20049.763671875,894192654543
95,2022-09-01,19431.7890625,1123272250385
96,2022-10-01,20495.7734375,957903424925
97,2022-11-01,17168.56640625,1224531549126
98,2022-12-01,16547.49609375,541356716034
99,2023-01-01,23139.283203125,690994018045
100,2023-02-01,23147.353515625,723968574897
101,2023-03-01,28478.484375,883299703608
102,2023-04-01,29268.806640625,511540319004
103,2023-05-01,27219.658203125,443473015479
104,2023-06-01,30477.251953125,481734214225
105,2023-07-01,29230.111328125,382224489090
106,2023-08-01,25931.47265625,437724169499
107,2023-09-01,26967.916015625,337637313742
